symbol,name,industry,sector,country,region,revenue,employees,market_cap
NN,Company 26,Technology,Consumer Discretionary,India,Asia,700000000,7000,6000000000
OOD,Company 27,Software,Energy,Brazil,South America,800000000,8000,6500000000
PP,Company 28,Financial Services,Communication Services,Canada,North America,900000000,9000,7000000000
QQF,Company 29,Banking,Consumer Staples,Germany,Europe,1000000000,10000,7500000000
RR,Company 30,Manufacturing,Materials,India,Asia,100000000,11000,500000000
SSH,Company 31,Retail,Utilities,Argentina,South America,200000000,12000,1000000000
TT,Company 32,Energy,Real Estate,Mexico,North America,300000000,13000,1500000000
UUJ,Company 33,Consumer Goods,Healthcare,Italy,Europe,400000000,14000,2000000000
VV,Company 34,Telecommunications,Technology,India,Asia,500000000,15000,2500000000
WWL,Company 35,Automotive,Financial Services,Chile,South America,600000000,16000,3000000000
XX,Company 36,Healthcare,Industrials,USA,North America,700000000,17000,3500000000
YYN,Company 37,Pharmaceuticals,Consumer Discretionary,France,Europe,800000000,18000,4000000000
ZZ,Company 38,Technology,Energy,India,Asia,900000000,19000,4500000000
AAP,Company 39,Software,Communication Services,Brazil,South America,1000000000,20000,5000000000
BB,Company 40,Financial Services,Consumer Staples,Canada,North America,100000000,1000,5500000000
CCR,Company 41,Banking,Materials,Spain,Europe,200000000,2000,6000000000
DD,Company 42,Manufacturing,Utilities,India,Asia,300000000,3000,6500000000
EET,Company 43,Retail,Real Estate,Argentina,South America,400000000,4000,7000000000
FF,Company 44,Energy,Healthcare,Mexico,North America,500000000,5000,7500000000
GGV,Company 45,Consumer Goods,Technology,Finland,Europe,600000000,6000,500000000
HH,Company 46,Telecommunications,Financial Services,India,Asia,700000000,7000,1000000000
IIX,Company 47,Automotive,Industrials,Chile,South America,800000000,8000,1500000000
JJ,Company 48,Healthcare,Consumer Discretionary,USA,North America,900000000,9000,2000000000
KKZ,Company 49,Pharmaceuticals,Energy,UK,Europe,1000000000,10000,2500000000
LL,Company 50,Technology,Communication Services,India,Asia,100000000,11000,3000000000
MMB,Company 51,Software,Consumer Staples,Brazil,South America,200000000,12000,3500000000
NN,Company 52,Financial Services,Materials,Canada,North America,300000000,13000,4000000000
OOD,Company 53,Banking,Utilities,Sweden,Europe,400000000,14000,4500000000
PP,Company 54,Manufacturing,Real Estate,India,Asia,500000000,15000,5000000000
QQF,Company 55,Retail,Healthcare,Argentina,South America,600000000,16000,5500000000
RR,Company 56,Energy,Technology,Mexico,North America,700000000,17000,6000000000
SSH,Company 57,Consumer Goods,Financial Services,Germany,Europe,800000000,18000,6500000000
TT,Company 58,Telecommunications,Industrials,India,Asia,900000000,19000,7000000000
UUJ,Company 59,Automotive,Consumer Discretionary,Chile,South America,1000000000,20000,7500000000
VV,Company 60,Healthcare,Energy,USA,North America,100000000,1000,500000000
WWL,Company 61,Pharmaceuticals,Communication Services,Italy,Europe,200000000,2000,1000000000
XX,Company 62,Technology,Consumer Staples,India,Asia,300000000,3000,1500000000
YYN,Company 63,Software,Materials,Brazil,South America,400000000,4000,2000000000
ZZ,Company 64,Financial Services,Utilities,Canada,North America,500000000,5000,2500000000
AAP,Company 65,Banking,Real Estate,France,Europe,600000000,6000,3000000000
BB,Company 66,Manufacturing,Healthcare,India,Asia,700000000,7000,3500000000
CCR,Company 67,Retail,Technology,Argentina,South America,800000000,8000,4000000000
DD,Company 68,Energy,Financial Services,Mexico,North America,900000000,9000,4500000000
EET,Company 69,Consumer Goods,Industrials,Spain,Europe,1000000000,10000,5000000000
FF,Company 70,Telecommunications,Consumer Discretionary,India,Asia,100000000,11000,5500000000
GGV,Company 71,Automotive,Energy,Chile,South America,200000000,12000,6000000000
HH,Company 72,Healthcare,Communication Services,USA,North America,300000000,13000,6500000000
IIX,Company 73,Pharmaceuticals,Consumer Staples,Finland,Europe,400000000,14000,7000000000
JJ,Company 74,Technology,Materials,India,Asia,500000000,15000,7500000000
KKZ,Company 75,Software,Utilities,Brazil,South America,600000000,16000,500000000
LL,Company 76,Financial Services,Real Estate,Canada,North America,700000000,17000,1000000000
MMB,Company 77,Banking,Healthcare,UK,Europe,800000000,18000,1500000000
NN,Company 78,Manufacturing,Technology,India,Asia,900000000,19000,2000000000
OOD,Company 79,Retail,Financial Services,Argentina,South America,1000000000,20000,2500000000
PP,Company 80,Energy,Industrials,Mexico,North America,100000000,1000,3000000000
QQF,Company 81,Consumer Goods,Consumer Discretionary,Sweden,Europe,200000000,2000,3500000000
RR,Company 82,Telecommunications,Energy,India,Asia,300000000,3000,4000000000
SSH,Company 83,Automotive,Communication Services,Chile,South America,400000000,4000,4500000000
TT,Company 84,Healthcare,Consumer Staples,USA,North America,500000000,5000,5000000000
UUJ,Company 85,Pharmaceuticals,Materials,Germany,Europe,600000000,6000,5500000000
VV,Company 86,Technology,Utilities,India,Asia,700000000,7000,6000000000
WWL,Company 87,Software,Real Estate,Brazil,South America,800000000,8000,6500000000
XX,Company 88,Financial Services,Healthcare,Canada,North America,900000000,9000,7000000000
YYN,Company 89,Banking,Technology,Italy,Europe,1000000000,10000,7500000000
ZZ,Company 90,Manufacturing,Financial Services,India,Asia,100000000,11000,500000000
AAP,Company 91,Retail,Industrials,Argentina,South America,200000000,12000,1000000000
BB,Company 92,Energy,Consumer Discretionary,Mexico,North America,300000000,13000,1500000000
CCR,Company 93,Consumer Goods,Energy,France,Europe,400000000,14000,2000000000
DD,Company 94,Telecommunications,Communication Services,India,Asia,500000000,15000,2500000000
EET,Company 95,Automotive,Consumer Staples,Chile,South America,600000000,16000,3000000000
FF,Company 96,Healthcare,Materials,USA,North America,700000000,17000,3500000000
GGV,Company 97,Pharmaceuticals,Utilities,Spain,Europe,800000000,18000,4000000000
HH,Company 98,Technology,Real Estate,India,Asia,900000000,19000,4500000000
IIX,Company 99,Software,Healthcare,Brazil,South America,1000000000,20000,5000000000
JJ,Company 100,Financial Services,Technology,Canada,North America,100000000,1000,5500000000
KKZ,Company 101,Banking,Financial Services,Finland,Europe,200000000,2000,6000000000
LL,Company 102,Manufacturing,Industrials,India,Asia,300000000,3000,6500000000
MMB,Company 103,Retail,Consumer Discretionary,Argentina,South America,400000000,4000,7000000000
NN,Company 104,Energy,Energy,Mexico,North America,500000000,5000,7500000000
OOD,Company 105,Consumer Goods,Communication Services,UK,Europe,600000000,6000,500000000
PP,Company 106,Telecommunications,Consumer Staples,India,Asia,700000000,7000,1000000000
QQF,Company 107,Automotive,Materials,Chile,South America,800000000,8000,1500000000
RR,Company 108,Healthcare,Utilities,USA,North America,900000000,9000,2000000000
SSH,Company 109,Pharmaceuticals,Real Estate,Sweden,Europe,1000000000,10000,2500000000
TT,Company 110,Technology,Healthcare,India,Asia,100000000,11000,3000000000
UUJ,Company 111,Software,Technology,Brazil,South America,200000000,12000,3500000000
VV,Company 112,Financial Services,Financial Services,Canada,North America,300000000,13000,4000000000
WWL,Company 113,Banking,Industrials,Germany,Europe,400000000,14000,4500000000
XX,Company 114,Manufacturing,Consumer Discretionary,India,Asia,500000000,15000,5000000000
YYN,Company 115,Retail,Energy,Argentina,South America,600000000,16000,5500000000
ZZ,Company 116,Energy,Communication Services,Mexico,North America,700000000,17000,6000000000
AAP,Company 117,Consumer Goods,Consumer Staples,Italy,Europe,800000000,18000,6500000000
BB,Company 118,Telecommunications,Materials,India,Asia,900000000,19000,7000000000
CCR,Company 119,Automotive,Utilities,Chile,South America,1000000000,20000,7500000000
DD,Company 120,Healthcare,Real Estate,USA,North America,100000000,1000,500000000
EET,Company 121,Pharmaceuticals,Healthcare,France,Europe,200000000,2000,1000000000
FF,Company 122,Technology,Technology,India,Asia,300000000,3000,1500000000
GGV,Company 123,Software,Financial Services,Brazil,South America,400000000,4000,2000000000
HH,Company 124,Financial Services,Industrials,Canada,North America,500000000,5000,2500000000
IIX,Company 125,Banking,Consumer Discretionary,Spain,Europe,600000000,6000,3000000000
JJ,Company 126,Manufacturing,Energy,India,Asia,700000000,7000,3500000000
KKZ,Company 127,Retail,Communication Services,Argentina,South America,800000000,8000,4000000000
LL,Company 128,Energy,Consumer Staples,Mexico,North America,900000000,9000,4500000000
MMB,Company 129,Consumer Goods,Materials,Finland,Europe,1000000000,10000,5000000000
NN,Company 130,Telecommunications,Utilities,India,Asia,100000000,11000,5500000000
OOD,Company 131,Automotive,Real Estate,Chile,South America,200000000,12000,6000000000
PP,Company 132,Healthcare,Healthcare,USA,North America,300000000,13000,6500000000
QQF,Company 133,Pharmaceuticals,Technology,UK,Europe,400000000,14000,7000000000
RR,Company 134,Technology,Financial Services,India,Asia,500000000,15000,7500000000
SSH,Company 135,Software,Industrials,Brazil,South America,600000000,16000,500000000
TT,Company 136,Financial Services,Consumer Discretionary,Canada,North America,700000000,17000,1000000000
UUJ,Company 137,Banking,Energy,Sweden,Europe,800000000,18000,1500000000
VV,Company 138,Manufacturing,Communication Services,India,Asia,900000000,19000,2000000000
WWL,Company 139,Retail,Consumer Staples,Argentina,South America,1000000000,20000,2500000000
XX,Company 140,Energy,Materials,Mexico,North America,100000000,1000,3000000000
YYN,Company 141,Consumer Goods,Utilities,Germany,Europe,200000000,2000,3500000000
ZZ,Company 142,Telecommunications,Real Estate,India,Asia,300000000,3000,4000000000
AAP,Company 143,Automotive,Healthcare,Chile,South America,400000000,4000,4500000000
BB,Company 144,Healthcare,Technology,USA,North America,500000000,5000,5000000000
CCR,Company 145,Pharmaceuticals,Financial Services,Italy,Europe,600000000,6000,5500000000
DD,Company 146,Technology,Industrials,India,Asia,700000000,7000,6000000000
EET,Company 147,Software,Consumer Discretionary,Brazil,South America,800000000,8000,6500000000
FF,Company 148,Financial Services,Energy,Canada,North America,900000000,9000,7000000000
GGV,Company 149,Banking,Communication Services,France,Europe,1000000000,10000,7500000000
HH,Company 150,Manufacturing,Consumer Staples,India,Asia,100000000,11000,500000000
IIX,Company 151,Retail,Materials,Argentina,South America,200000000,12000,1000000000
JJ,Company 152,Energy,Utilities,Mexico,North America,300000000,13000,1500000000
KKZ,Company 153,Consumer Goods,Real Estate,Spain,Europe,400000000,14000,2000000000
LL,Company 154,Telecommunications,Healthcare,India,Asia,500000000,15000,2500000000
MMB,Company 155,Automotive,Technology,Chile,South America,600000000,16000,3000000000
NN,Company 156,Healthcare,Financial Services,USA,North America,700000000,17000,3500000000
OOD,Company 157,Pharmaceuticals,Industrials,Finland,Europe,800000000,18000,4000000000
PP,Company 158,Technology,Consumer Discretionary,India,Asia,900000000,19000,4500000000
QQF,Company 159,Software,Energy,Brazil,South America,1000000000,20000,5000000000
RR,Company 160,Financial Services,Communication Services,Canada,North America,100000000,1000,5500000000
SSH,Company 161,Banking,Consumer Staples,UK,Europe,200000000,2000,6000000000
TT,Company 162,Manufacturing,Materials,India,Asia,300000000,3000,6500000000
UUJ,Company 163,Retail,Utilities,Argentina,South America,400000000,4000,7000000000
VV,Company 164,Energy,Real Estate,Mexico,North America,500000000,5000,7500000000
WWL,Company 165,Consumer Goods,Healthcare,Sweden,Europe,600000000,6000,500000000
XX,Company 166,Telecommunications,Technology,India,Asia,700000000,7000,1000000000
YYN,Company 167,Automotive,Financial Services,Chile,South America,800000000,8000,1500000000
ZZ,Company 168,Healthcare,Industrials,USA,North America,900000000,9000,2000000000
AAP,Company 169,Pharmaceuticals,Consumer Discretionary,Germany,Europe,1000000000,10000,2500000000
BB,Company 170,Technology,Energy,India,Asia,100000000,11000,3000000000
CCR,Company 171,Software,Communication Services,Brazil,South America,200000000,12000,3500000000
DD,Company 172,Financial Services,Consumer Staples,Canada,North America,300000000,13000,4000000000
EET,Company 173,Banking,Materials,Italy,Europe,400000000,14000,4500000000
FF,Company 174,Manufacturing,Utilities,India,Asia,500000000,15000,5000000000
GGV,Company 175,Retail,Real Estate,Argentina,South America,600000000,16000,5500000000
HH,Company 176,Energy,Healthcare,Mexico,North America,700000000,17000,6000000000
IIX,Company 177,Consumer Goods,Technology,France,Europe,800000000,18000,6500000000
JJ,Company 178,Telecommunications,Financial Services,India,Asia,900000000,19000,7000000000
KKZ,Company 179,Automotive,Industrials,Chile,South America,1000000000,20000,7500000000
LL,Company 180,Healthcare,Consumer Discretionary,USA,North America,100000000,1000,500000000
MMB,Company 181,Pharmaceuticals,Energy,Spain,Europe,200000000,2000,1000000000
NN,Company 182,Technology,Communication Services,India,Asia,300000000,3000,1500000000
OOD,Company 183,Software,Consumer Staples,Brazil,South America,400000000,4000,2000000000
PP,Company 184,Financial Services,Materials,Canada,North America,500000000,5000,2500000000
QQF,Company 185,Banking,Utilities,Finland,Europe,600000000,6000,3000000000
RR,Company 186,Manufacturing,Real Estate,India,Asia,700000000,7000,3500000000
SSH,Company 187,Retail,Healthcare,Argentina,South America,800000000,8000,4000000000
TT,Company 188,Energy,Technology,Mexico,North America,900000000,9000,4500000000
UUJ,Company 189,Consumer Goods,Financial Services,UK,Europe,1000000000,10000,5000000000
VV,Company 190,Telecommunications,Industrials,India,Asia,100000000,11000,5500000000
WWL,Company 191,Automotive,Consumer Discretionary,Chile,South America,200000000,12000,6000000000
XX,Company 192,Healthcare,Energy,USA,North America,300000000,13000,6500000000
YYN,Company 193,Pharmaceuticals,Communication Services,Sweden,Europe,400000000,14000,7000000000
ZZ,Company 194,Technology,Consumer Staples,India,Asia,500000000,15000,7500000000
AAP,Company 195,Software,Materials,Brazil,South America,600000000,16000,500000000
BB,Company 196,Financial Services,Utilities,Canada,North America,700000000,17000,1000000000
CCR,Company 197,Banking,Real Estate,Germany,Europe,800000000,18000,1500000000
DD,Company 198,Manufacturing,Healthcare,India,Asia,900000000,19000,2000000000
EET,Company 199,Retail,Technology,Argentina,South America,1000000000,20000,2500000000
FF,Company 200,Energy,Financial Services,Mexico,North America,100000000,1000,3000000000
GGV,Company 201,Consumer Goods,Industrials,Italy,Europe,200000000,2000,3500000000
HH,Company 202,Telecommunications,Consumer Discretionary,India,Asia,300000000,3000,4000000000
IIX,Company 203,Automotive,Energy,Chile,South America,400000000,4000,4500000000
JJ,Company 204,Healthcare,Communication Services,USA,North America,500000000,5000,5000000000
KKZ,Company 205,Pharmaceuticals,Consumer Staples,France,Europe,600000000,6000,5500000000
LL,Company 206,Technology,Materials,India,Asia,700000000,7000,6000000000
MMB,Company 207,Software,Utilities,Brazil,South America,800000000,8000,6500000000
NN,Company 208,Financial Services,Real Estate,Canada,North America,900000000,9000,7000000000
OOD,Company 209,Banking,Healthcare,Spain,Europe,1000000000,10000,7500000000
PP,Company 210,Manufacturing,Technology,India,Asia,100000000,11000,500000000
QQF,Company 211,Retail,Financial Services,Argentina,South America,200000000,12000,1000000000
RR,Company 212,Energy,Industrials,Mexico,North America,300000000,13000,1500000000
SSH,Company 213,Consumer Goods,Consumer Discretionary,Finland,Europe,400000000,14000,2000000000
TT,Company 214,Telecommunications,Energy,India,Asia,500000000,15000,2500000000
UUJ,Company 215,Automotive,Communication Services,Chile,South America,600000000,16000,3000000000
VV,Company 216,Healthcare,Consumer Staples,USA,North America,700000000,17000,3500000000
WWL,Company 217,Pharmaceuticals,Materials,UK,Europe,800000000,18000,4000000000
XX,Company 218,Technology,Utilities,India,Asia,900000000,19000,4500000000
YYN,Company 219,Software,Real Estate,Brazil,South America,1000000000,20000,5000000000
ZZ,Company 220,Financial Services,Healthcare,Canada,North America,100000000,1000,5500000000
AAP,Company 221,Banking,Technology,Sweden,Europe,200000000,2000,6000000000
BB,Company 222,Manufacturing,Financial Services,India,Asia,300000000,3000,6500000000
CCR,Company 223,Retail,Industrials,Argentina,South America,400000000,4000,7000000000
DD,Company 224,Energy,Consumer Discretionary,Mexico,North America,500000000,5000,7500000000
EET,Company 225,Consumer Goods,Energy,Germany,Europe,600000000,6000,500000000
FF,Company 226,Telecommunications,Communication Services,India,Asia,700000000,7000,1000000000
GGV,Company 227,Automotive,Consumer Staples,Chile,South America,800000000,8000,1500000000
HH,Company 228,Healthcare,Materials,USA,North America,900000000,9000,2000000000
IIX,Company 229,Pharmaceuticals,Utilities,Italy,Europe,1000000000,10000,2500000000
JJ,Company 230,Technology,Real Estate,India,Asia,100000000,11000,3000000000
KKZ,Company 231,Software,Healthcare,Brazil,South America,200000000,12000,3500000000
LL,Company 232,Financial Services,Technology,Canada,North America,300000000,13000,4000000000
MMB,Company 233,Banking,Financial Services,France,Europe,400000000,14000,4500000000
NN,Company 234,Manufacturing,Industrials,India,Asia,500000000,15000,5000000000
OOD,Company 235,Retail,Consumer Discretionary,Argentina,South America,600000000,16000,5500000000
PP,Company 236,Energy,Energy,Mexico,North America,700000000,17000,6000000000
QQF,Company 237,Consumer Goods,Communication Services,Spain,Europe,800000000,18000,6500000000
RR,Company 238,Telecommunications,Consumer Staples,India,Asia,900000000,19000,7000000000
SSH,Company 239,Automotive,Materials,Chile,South America,1000000000,20000,7500000000
TT,Company 240,Healthcare,Utilities,USA,North America,100000000,1000,500000000
UUJ,Company 241,Pharmaceuticals,Real Estate,Finland,Europe,200000000,2000,1000000000
VV,Company 242,Technology,Healthcare,India,Asia,300000000,3000,1500000000
WWL,Company 243,Software,Technology,Brazil,South America,400000000,4000,2000000000
XX,Company 244,Financial Services,Financial Services,Canada,North America,500000000,5000,2500000000
YYN,Company 245,Banking,Industrials,UK,Europe,600000000,6000,3000000000
ZZ,Company 246,Manufacturing,Consumer Discretionary,India,Asia,700000000,7000,3500000000
AAP,Company 247,Retail,Energy,Argentina,South America,800000000,8000,4000000000
BB,Company 248,Energy,Communication Services,Mexico,North America,900000000,9000,4500000000
CCR,Company 249,Consumer Goods,Consumer Staples,Sweden,Europe,1000000000,10000,5000000000
DD,Company 250,Telecommunications,Materials,India,Asia,100000000,11000,5500000000
EET,Company 251,Automotive,Utilities,Chile,South America,200000000,12000,6000000000
FF,Company 252,Healthcare,Real Estate,USA,North America,300000000,13000,6500000000
GGV,Company 253,Pharmaceuticals,Healthcare,Germany,Europe,400000000,14000,7000000000
HH,Company 254,Technology,Technology,India,Asia,500000000,15000,7500000000
IIX,Company 255,Software,Financial Services,Brazil,South America,600000000,16000,500000000
JJ,Company 256,Financial Services,Industrials,Canada,North America,700000000,17000,1000000000
KKZ,Company 257,Banking,Consumer Discretionary,Italy,Europe,800000000,18000,1500000000
LL,Company 258,Manufacturing,Energy,India,Asia,900000000,19000,2000000000
MMB,Company 259,Retail,Communication Services,Argentina,South America,1000000000,20000,2500000000
NN,Company 260,Energy,Consumer Staples,Mexico,North America,100000000,1000,3000000000
OOD,Company 261,Consumer Goods,Materials,France,Europe,200000000,2000,3500000000
PP,Company 262,Telecommunications,Utilities,India,Asia,300000000,3000,4000000000
QQF,Company 263,Automotive,Real Estate,Chile,South America,400000000,4000,4500000000
RR,Company 264,Healthcare,Healthcare,USA,North America,500000000,5000,5000000000
SSH,Company 265,Pharmaceuticals,Technology,Spain,Europe,600000000,6000,5500000000
TT,Company 266,Technology,Financial Services,India,Asia,700000000,7000,6000000000
UUJ,Company 267,Software,Industrials,Brazil,South America,800000000,8000,6500000000
VV,Company 268,Financial Services,Consumer Discretionary,Canada,North America,900000000,9000,7000000000
WWL,Company 269,Banking,Energy,Finland,Europe,1000000000,10000,7500000000
XX,Company 270,Manufacturing,Communication Services,India,Asia,100000000,11000,500000000
YYN,Company 271,Retail,Consumer Staples,Argentina,South America,200000000,12000,1000000000
ZZ,Company 272,Energy,Materials,Mexico,North America,300000000,13000,1500000000
AAP,Company 273,Consumer Goods,Utilities,UK,Europe,400000000,14000,2000000000
BB,Company 274,Telecommunications,Real Estate,India,Asia,500000000,15000,2500000000
CCR,Company 275,Automotive,Healthcare,Chile,South America,600000000,16000,3000000000
DD,Company 276,Healthcare,Technology,USA,North America,700000000,17000,3500000000
EET,Company 277,Pharmaceuticals,Financial Services,Sweden,Europe,800000000,18000,4000000000
FF,Company 278,Technology,Industrials,India,Asia,900000000,19000,4500000000
GGV,Company 279,Software,Consumer Discretionary,Brazil,South America,1000000000,20000,5000000000
HH,Company 280,Financial Services,Energy,Canada,North America,100000000,1000,5500000000
IIX,Company 281,Banking,Communication Services,Germany,Europe,200000000,2000,6000000000
JJ,Company 282,Manufacturing,Consumer Staples,India,Asia,300000000,3000,6500000000
KKZ,Company 283,Retail,Materials,Argentina,South America,400000000,4000,7000000000
LL,Company 284,Energy,Utilities,Mexico,North America,500000000,5000,7500000000
MMB,Company 285,Consumer Goods,Real Estate,Italy,Europe,600000000,6000,500000000
NN,Company 286,Telecommunications,Healthcare,India,Asia,700000000,7000,1000000000
OOD,Company 287,Automotive,Technology,Chile,South America,800000000,8000,1500000000
PP,Company 288,Healthcare,Financial Services,USA,North America,900000000,9000,2000000000
QQF,Company 289,Pharmaceuticals,Industrials,France,Europe,1000000000,10000,2500000000
RR,Company 290,Technology,Consumer Discretionary,India,Asia,100000000,11000,3000000000
SSH,Company 291,Software,Energy,Brazil,South America,200000000,12000,3500000000
TT,Company 292,Financial Services,Communication Services,Canada,North America,300000000,13000,4000000000
UUJ,Company 293,Banking,Consumer Staples,Spain,Europe,400000000,14000,4500000000
VV,Company 294,Manufacturing,Materials,India,Asia,500000000,15000,5000000000
WWL,Company 295,Retail,Utilities,Argentina,South America,600000000,16000,5500000000
XX,Company 296,Energy,Real Estate,Mexico,North America,700000000,17000,6000000000
YYN,Company 297,Consumer Goods,Healthcare,Finland,Europe,800000000,18000,6500000000
ZZ,Company 298,Telecommunications,Technology,India,Asia,900000000,19000,7000000000
AAP,Company 299,Automotive,Financial Services,Chile,South America,1000000000,20000,7500000000
BB,Company 300,Healthcare,Industrials,USA,North America,100000000,1000,500000000
CCR,Company 301,Pharmaceuticals,Consumer Discretionary,UK,Europe,200000000,2000,1000000000
DD,Company 302,Technology,Energy,India,Asia,300000000,3000,1500000000
EET,Company 303,Software,Communication Services,Brazil,South America,400000000,4000,2000000000
FF,Company 304,Financial Services,Consumer Staples,Canada,North America,500000000,5000,2500000000
GGV,Company 305,Banking,Materials,Sweden,Europe,600000000,6000,3000000000
HH,Company 306,Manufacturing,Utilities,India,Asia,700000000,7000,3500000000
IIX,Company 307,Retail,Real Estate,Argentina,South America,800000000,8000,4000000000
JJ,Company 308,Energy,Healthcare,Mexico,North America,900000000,9000,4500000000
KKZ,Company 309,Consumer Goods,Technology,Germany,Europe,1000000000,10000,5000000000
LL,Company 310,Telecommunications,Financial Services,India,Asia,100000000,11000,5500000000
MMB,Company 311,Automotive,Industrials,Chile,South America,200000000,12000,6000000000
NN,Company 312,Healthcare,Consumer Discretionary,USA,North America,300000000,13000,6500000000
OOD,Company 313,Pharmaceuticals,Energy,Italy,Europe,400000000,14000,7000000000
PP,Company 314,Technology,Communication Services,India,Asia,500000000,15000,7500000000
QQF,Company 315,Software,Consumer Staples,Brazil,South America,600000000,16000,500000000
RR,Company 316,Financial Services,Materials,Canada,North America,700000000,17000,1000000000
SSH,Company 317,Banking,Utilities,France,Europe,800000000,18000,1500000000
TT,Company 318,Manufacturing,Real Estate,India,Asia,900000000,19000,2000000000
UUJ,Company 319,Retail,Healthcare,Argentina,South America,1000000000,20000,2500000000
VV,Company 320,Energy,Technology,Mexico,North America,100000000,1000,3000000000
WWL,Company 321,Consumer Goods,Financial Services,Spain,Europe,200000000,2000,3500000000
XX,Company 322,Telecommunications,Industrials,India,Asia,300000000,3000,4000000000
YYN,Company 323,Automotive,Consumer Discretionary,Chile,South America,400000000,4000,4500000000
ZZ,Company 324,Healthcare,Energy,USA,North America,500000000,5000,5000000000
AAP,Company 325,Pharmaceuticals,Communication Services,Finland,Europe,600000000,6000,5500000000
BB,Company 326,Technology,Consumer Staples,India,Asia,700000000,7000,6000000000
CCR,Company 327,Software,Materials,Brazil,South America,800000000,8000,6500000000
DD,Company 328,Financial Services,Utilities,Canada,North America,900000000,9000,7000000000
EET,Company 329,Banking,Real Estate,UK,Europe,1000000000,10000,7500000000
FF,Company 330,Manufacturing,Healthcare,India,Asia,100000000,11000,500000000
GGV,Company 331,Retail,Technology,Argentina,South America,200000000,12000,1000000000
HH,Company 332,Energy,Financial Services,Mexico,North America,300000000,13000,1500000000
IIX,Company 333,Consumer Goods,Industrials,Sweden,Europe,400000000,14000,2000000000
JJ,Company 334,Telecommunications,Consumer Discretionary,India,Asia,500000000,15000,2500000000
KKZ,Company 335,Automotive,Energy,Chile,South America,600000000,16000,3000000000
LL,Company 336,Healthcare,Communication Services,USA,North America,700000000,17000,3500000000
MMB,Company 337,Pharmaceuticals,Consumer Staples,Germany,Europe,800000000,18000,4000000000
NN,Company 338,Technology,Materials,India,Asia,900000000,19000,4500000000
OOD,Company 339,Software,Utilities,Brazil,South America,1000000000,20000,5000000000
PP,Company 340,Financial Services,Real Estate,Canada,North America,100000000,1000,5500000000
QQF,Company 341,Banking,Healthcare,Italy,Europe,200000000,2000,6000000000
RR,Company 342,Manufacturing,Technology,India,Asia,300000000,3000,6500000000
SSH,Company 343,Retail,Financial Services,Argentina,South America,400000000,4000,7000000000
TT,Company 344,Energy,Industrials,Mexico,North America,500000000,5000,7500000000
UUJ,Company 345,Consumer Goods,Consumer Discretionary,France,Europe,600000000,6000,500000000
VV,Company 346,Telecommunications,Energy,India,Asia,700000000,7000,1000000000
WWL,Company 347,Automotive,Communication Services,Chile,South America,800000000,8000,1500000000
XX,Company 348,Healthcare,Consumer Staples,USA,North America,900000000,9000,2000000000
YYN,Company 349,Pharmaceuticals,Materials,Spain,Europe,1000000000,10000,2500000000
ZZ,Company 350,Technology,Utilities,India,Asia,100000000,11000,3000000000
AAP,Company 351,Software,Real Estate,Brazil,South America,200000000,12000,3500000000
BB,Company 352,Financial Services,Healthcare,Canada,North America,300000000,13000,4000000000
CCR,Company 353,Banking,Technology,Finland,Europe,400000000,14000,4500000000
DD,Company 354,Manufacturing,Financial Services,India,Asia,500000000,15000,5000000000
